TimeStamp,DateTime,RH,Fan,Swing,Mode,Status,RoomTemp,Setpoint
1614333586,2/26/2021 9:59,32.01800537,1,1,1,1,27.10421944,26
1614333946,2/26/2021 10:05,32.26062393,1,1,1,1,27.08819771,26
1614334306,2/26/2021 10:11,32.5169754,1,1,1,1,27.04814148,26
1614334786,2/26/2021 10:19,32.16754532,1,1,1,1,27.16029549,26
1614335146,2/26/2021 10:25,31.9432373,1,1,1,1,27.23239517,26
1614335506,2/26/2021 10:31,31.9066143,1,1,1,1,27.33119774,26
1614335866,2/26/2021 10:37,31.59227943,1,1,1,1,27.35790062,26
1614336226,2/26/2021 10:43,31.58312416,1,1,1,1,27.40062523,26
1614336586,2/26/2021 10:49,31.52666473,1,1,1,1,27.40062523,26
1614336946,2/26/2021 10:55,31.07805061,1,1,1,1,27.38727379,26
1614337306,2/26/2021 11:01,31.66399574,1,1,1,1,26.9760437,26
1614337666,2/26/2021 11:07,31.58159828,1,1,1,1,27.01876831,26
1614338026,2/26/2021 11:13,31.7326622,1,1,1,1,26.94934082,26
1614338386,2/26/2021 11:19,32.64057541,1,1,1,1,26.82116508,26
1614338746,2/26/2021 11:25,32.50324249,1,1,1,1,26.72503281,26
1614339226,2/26/2021 11:33,32.01342773,1,1,1,1,26.53810883,26
1614339586,2/26/2021 11:39,32.06378174,1,1,1,1,25.91859245,26
1614339946,2/26/2021 11:45,32.52918243,1,1,1,1,25.66758156,26
1614340306,2/26/2021 11:51,32.61310577,1,1,1,1,25.48065948,26
1614340666,2/26/2021 11:57,32.28656387,1,1,1,1,25.66758156,26
1614341026,2/26/2021 12:03,31.94476318,1,1,1,1,25.72365952,26
1614341386,2/26/2021 12:09,31.7616539,1,1,1,1,25.58213234,26
1614341746,2/26/2021 12:15,31.60601234,1,1,1,1,25.62485695,26
1614342106,2/26/2021 12:21,31.67772865,1,1,1,1,25.42458153,26
1614342466,2/26/2021 12:27,31.96307373,1,1,1,1,25.08812141,26
1614342826,2/26/2021 12:33,31.78759384,1,1,1,1,25.01869202,26
1614343186,2/26/2021 12:39,32.11260986,1,1,1,1,24.80506516,26
1614343546,2/26/2021 12:45,32.19195938,1,1,1,1,24.56740761,26
1614343906,2/26/2021 12:51,37.58449554,1,1,1,1,24.88784599,26
1614344266,2/26/2021 12:57,43.12962723,1,1,1,1,25.58213234,26
1614344626,2/26/2021 13:03,42.00350952,1,1,1,1,26.06011963,26
1614344986,2/26/2021 13:09,37.13588333,1,1,1,1,26.65026283,26
1614345346,2/26/2021 13:15,34.0718689,1,1,1,1,25.18692207,26
1614345706,2/26/2021 13:21,35.26817703,1,1,1,1,24.55138397,26
1614346066,2/26/2021 13:27,36.69031906,1,1,1,1,26.00404358,26
1614346426,2/26/2021 13:33,32.60852814,1,1,1,1,26.44197845,26
1614346786,2/26/2021 13:39,33.43556976,1,1,1,1,24.74898911,26
